Question,A,B,C,D,CorrectAnswer,Explanation,Type,Tolerance,Unit,Accept,MRQ_AON,Pairs,Items,Difficulty,Tags,Section
Differentiate y = 4x³ and evaluate dy/dx at x = 2.,,,,,48,dy/dx = 12x². At x = 2: 12 × 4 = 48.,numeric,0,,,,,,Medium,Calculus|Differentiation,Differentiation
Match each calculus term to its correct definition.,,,,,,Derivative=rate of change; Integral=area/accumulation; Limit=approach value; Stationary Point=gradient zero. Chain Rule is distractor.,matching,,,,,"[{""left"":""Derivative"",""right"":""The rate of change of a function at a given point""},{""left"":""Integral"",""right"":""The area under a curve or the reverse of differentiation""},{""left"":""Limit"",""right"":""The value a function approaches as the input gets closer to a point""},{""left"":""Stationary Point"",""right"":""A point on a curve where the gradient is zero""},{""left"":""DISTRACTOR"",""right"":""A rule for differentiating composite functions: f'(g(x))·g'(x)""}]",,Medium,Calculus|Limits,Limits
Match each sequence or series type to its defining property.,,,,,,AP: constant difference. GP: constant ratio. Fibonacci: sum of two previous. Harmonic: reciprocals of AP. Binomial Series is distractor.,matching,,,,,"[{""left"":""Arithmetic Progression"",""right"":""Consecutive terms differ by a constant amount""},{""left"":""Geometric Progression"",""right"":""Consecutive terms have a constant ratio""},{""left"":""Fibonacci Sequence"",""right"":""Each term is the sum of the two preceding terms""},{""left"":""Harmonic Progression"",""right"":""The reciprocals of the terms form an arithmetic progression""},{""left"":""DISTRACTOR"",""right"":""An expansion of (1+x)^n valid for |x| less than 1""}]",,Medium,Further Mathematics,Mixed Practice
Match each integration formula to its correct result.,,,,,,Standard integration results every Further Maths student must know.,matching,,,,,"[{""left"":""∫xⁿ dx (n ≠ −1)"",""right"":""xⁿ⁺¹/(n+1) + C""},{""left"":""∫eˣ dx"",""right"":""eˣ + C""},{""left"":""∫cos x dx"",""right"":""sin x + C""},{""left"":""∫sin x dx"",""right"":""-cos x + C""},{""left"":""DISTRACTOR"",""right"":""tan x + C""}]",,Medium,Calculus|Integration,Integration
Match each mathematician to their contribution relevant to Further Mathematics.,,,,,,Newton/Leibniz: calculus. Euler: e and i. Pythagoras: right-triangle theorem. Pascal: binomial triangle. Gauss is distractor.,matching,,,,,"[{""left"":""Newton and Leibniz"",""right"":""Independently developed calculus""},{""left"":""Euler"",""right"":""Introduced the constants e and i and function notation f(x)""},{""left"":""Pythagoras"",""right"":""Proved the right-angle triangle theorem: a² + b² = c²""},{""left"":""Pascal"",""right"":""Developed the triangular array of binomial coefficients""},{""left"":""DISTRACTOR"",""right"":""Developed the theory of electromagnetism""}]",,Medium,Further Mathematics,Mixed Practice
Match each matrix operation to its correct description.,,,,,,Core matrix operations for SSS Further Mathematics.,matching,,,,,"[{""left"":""Transpose"",""right"":""Flip a matrix along its main diagonal so rows become columns""},{""left"":""Determinant"",""right"":""A scalar value encoding invertibility: ad-bc for a 2x2 matrix""},{""left"":""Inverse"",""right"":""A matrix A-inverse such that A times A-inverse equals the identity""},{""left"":""Identity Matrix"",""right"":""A square matrix with 1s on the diagonal and 0s elsewhere""},{""left"":""DISTRACTOR"",""right"":""The matrix formed by replacing each element with its cofactor""}]",,Hard,Algebra|Matrices,Matrices
Arrange the following differentiation rules in the order a student should learn them (simplest first).,,,,,,Power rule is first (single terms). Sum/difference rule follows. Then chain rule (composite functions). Product rule (products of functions). Quotient rule last (most complex).,ordering,,,,,,"[""Power Rule: d/dx[xⁿ] = nxⁿ⁻¹"",""Sum/Difference Rule: d/dx[f±g] = f'±g'"",""Chain Rule: d/dx[f(g(x))] = f'(g(x))·g'(x)"",""Product Rule: d/dx[uv] = u'v + uv'"",""Quotient Rule: d/dx[u/v] = (u'v − uv')/v²""]",Medium,Calculus|Differentiation,Differentiation
Arrange the following steps for finding a stationary point and classifying it in the correct order.,,,,,,This is the standard procedure: differentiate → set to zero → solve → find coordinates → second derivative → classify.,ordering,,,,,,"[""Differentiate y to get dy/dx"",""Set dy/dx = 0 and solve for x"",""Substitute x back into y to find the y-coordinate"",""Find the second derivative d²y/dx²"",""Substitute x into d²y/dx² to classify the point""]",Medium,Calculus|Differentiation,Differentiation
Arrange the following complex number operations in the order they are performed when dividing (3+4i) by (1−2i).,,,,,,To divide complex numbers: identify the conjugate → multiply numerator and denominator by it → expand both → simplify using i²=−1 → write in a+bi form.,ordering,,,,,,"[""Write down the conjugate of the denominator: (1+2i)"",""Multiply numerator and denominator by the conjugate"",""Expand the numerator using FOIL"",""Expand the denominator: (1−2i)(1+2i) = 1+4 = 5"",""Simplify using i² = −1 and write the result in a+bi form""]",Medium,Further Mathematics,Mixed Practice
Arrange the following sequences in order of their rate of growth from slowest to fastest.,,,,,,Logarithmic growth is slowest. Linear is next. Polynomial (quadratic). Exponential grows the fastest of all — it eventually overtakes every polynomial.,ordering,,,,,,"[""Logarithmic: f(n) = log n"",""Linear: f(n) = n"",""Polynomial: f(n) = n²"",""Exponential: f(n) = 2ⁿ""]",Medium,Further Mathematics,Mixed Practice
Arrange the following steps for integrating by substitution in the correct order.,,,,,,The substitution method: choose u → differentiate → rearrange for dx → substitute → integrate → back-substitute.,ordering,,,,,,"[""Identify a suitable substitution: let u = g(x)"",""Differentiate to find du/dx and rearrange to express dx in terms of du"",""Substitute u and dx into the integral"",""Integrate with respect to u"",""Substitute back the original expression for u""]",Medium,Calculus|Differentiation,Differentiation
"Fill the blanks: For a straight line y = mx + c, m is the ___ and c is the ___.",,,,,,m is gradient; c is the y-intercept.,cloze,,,,,,"[""gradient|slope"",""y-intercept|intercept|vertical intercept""]",Medium,Further Mathematics,Mixed Practice
Explain why a student must show working in Further Mathematics calculations.,,,,,,Keyword-based essay scoring; teacher review is recommended for final judgement.,essay,,,method|error|marks|reasoning|verification,,,"{""min_words"":30,""keywords"":[""method"",""error"",""marks"",""reasoning"",""verification""]}",Medium,Further Mathematics,Mixed Practice
"Categorise each expression as Polynomial, Exponential, or Trigonometric.",,,,,,Each correct category earns partial credit.,categorization,,,,,,"[{""item"":""x² + 3x + 2"",""category"":""Polynomial""},{""item"":""2^x"",""category"":""Exponential""},{""item"":""sin x"",""category"":""Trigonometric""}]",Medium,Further Mathematics,Mixed Practice
Solve the simultaneous equations x + y = 7 and x - y = 1. Enter x and y.,,,,,,Adding gives 2x=8 so x=4; then y=3.,multi_numeric,,,,,,"[{""label"":""x"",""answer"":4,""tolerance"":0},{""label"":""y"",""answer"":3,""tolerance"":0}]",Medium,Further Mathematics,Mixed Practice
